################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.0102035910780269E-01   2.9914918011914002E+00   2.0944351503066239E+00   2.8406138383483354E-01
         1          2   5.5616877543924370E-01   1.6414348306157456E+00   1.2385162181792593E+00   1.3780893303639477E-01
         1          3   5.0909943981803607E-01   2.2186911147770094E+00   1.5243839937345125E+00   2.1124154840628359E-01
         1          4   4.5588872035296729E-01   1.2729418156894861E+00   9.5394844042175153E-01   1.0125717486743134E-01
         1          5   3.0401171080245848E-01   1.3460602469178962E+00   8.4852912811150349E-01   1.2260777747797191E-01
         1          6   3.4135546449846843E-01   8.3494664576353228E-01   6.1851513717122131E-01   5.8087796755869031E-02
         1          7   1.8593204355542481E-01   7.3537356946831067E-01   4.3315954866333872E-01   6.5224820080154178E-02
         1          8   2.7410264434807041E-01   5.3636564268673759E-01   4.1211199481404398E-01   3.2949542607031063E-02
         1          9   2.7093274322782906E-01   4.4824062151973865E-01   3.5867590090583445E-01   2.6322075695534405E-02
         1         10   2.3782086965360058E-01   9.0901414053212404E-01   5.1462890638934389E-01   8.3862693873997307E-02
         1         11   2.1667420828393205E-01   3.2759107016775835E-01   2.7057347393053671E-01   1.4108061089763825E-02
         1         12   1.5495517788685140E-01   5.2448440484959391E-01   2.9234861108408616E-01   4.6616949935402142E-02
         1         13   1.3367560891554797E-01   2.5839344589205832E-01   1.9297302251700940E-01   1.3755576321531045E-02
         1         14   7.4928325735069051E-02   3.0796358154577702E-01   1.5827694089754030E-01   2.4623519654440634E-02
         1         15   2.8204793001094179E-02   1.6830517003788736E-01   8.5061538244452867E-02   1.5213509968600030E-02
         1         16   9.7484377118434856E-03   1.6588028754461787E-01   5.4681756284284948E-02   1.8769098154875062E-02
         1         17   2.7009650307247408E-05   3.0684434343307854E-02   1.6252503929531436E-02   4.5678122517742491E-03
         1         18   3.9673095156269808E-03   3.6727585286144525E-02   1.7807539038640796E-02   4.4753167356467926E-03
         1         19   5.2804011847979999E-05   3.4578135206768550E-02   1.5309085380082261E-02   4.8898905651254213E-03
         1         20   4.7469815439744489E-02   2.1233592927680245E-01   1.2872148658345564E-01   2.0734103182015677E-02
         1         21   3.9730090739061464E-03   4.0066736582278377E-02   1.5980857412550196E-02   4.4024004184573789E-03
         1         22   9.2323487928250636E-05   1.3306568108430583E-02   5.4371710436939254E-03   1.9828381726051014E-03
         1         23   3.4776128149719497E-02   1.2747830739820187E-01   7.4433466877883575E-02   1.1242856997594275E-02
         1         24   3.2228856894816999E-04   9.9245481019436949E-03   3.3544690170047476E-03   1.1182483412654502E-03
         1         25   1.2384382173666402E-03   7.9197530837244127E-03   3.5064638137957179E-03   7.8371304064650841E-04
         1         26   1.4663352151198168E-02   3.7376426797115538E-02   2.3917978694451333E-02   2.5650809971873500E-03
         1         27   1.0276884691996977E-03   4.4938401694132263E-03   2.3559325068418530E-03   4.4004799694660675E-04
         2          1   1.2947127304781272E+00   3.3479894641773900E+00   2.4770324363585199E+00   2.8010961629392606E-01
         2          2   3.1847207737247002E-01   1.2839140479055136E+00   8.7576497485975324E-01   1.3457312982179806E-01
         2          3   1.0798180705484997E+00   2.5821445824129854E+00   1.9078968808435024E+00   2.0575975492964740E-01
         2          4   2.0513997629815056E-01   9.1019228401923513E-01   5.9536684626870418E-01   9.6141518833641013E-02
         2          5   7.6988679996981779E-01   1.6569083643531688E+00   1.2370302743424415E+00   1.1646064223023558E-01
         2          6   7.6576397360921172E-02   4.6909397050121004E-01   2.7466588813084519E-01   4.9864268980248434E-02
         2          7   5.7112307112110916E-01   1.0764602978533335E+00   8.2422398962808829E-01   6.1478488856830216E-02
         2          8   1.9835738477357461E-02   1.9894933258211747E-01   9.8405958994133860E-02   2.1649211903878335E-02
         2          9   5.6382091985907001E-01   8.7612525607980651E-01   7.1735180181166958E-01   4.0426755271765411E-02
         2         10   9.0963426739352343E-02   7.8615921960704471E-01   4.2483897301576856E-01   8.5092839454220789E-02
         2         11   4.5988086927008381E-01   6.2972881477704590E-01   5.4114694786107331E-01   2.0505555885790807E-02
         2         12   4.0591911814975262E-02   6.2083776023235915E-01   2.8064719439562935E-01   7.1170864597036851E-02
         2         13   3.0145777466256657E-01   4.6318710432742971E-01   3.8594604503401847E-01   2.0584091763716474E-02
         2         14   6.8305019308148871E-03   4.2987555982173042E-01   1.5138009293947213E-01   5.6078966607209950E-02
         2         15   9.1642048370563473E-02   2.5948884316355386E-01   1.7012307648890584E-01   2.1678599108080301E-02
         2         16   8.9179999017801164E-05   2.1832034841622530E-01   3.7473561351113023E-02   2.6659296403925354E-02
         2         17   8.9461692318927165E-04   2.9445999255654401E-02   1.3255420022104765E-02   3.4847892265024221E-03
         2         18   3.8300932124308885E-06   2.1693541467518616E-03   5.3255173681639905E-04   2.5663817619870017E-04
         2         19   4.3286325001748414E-02   2.9874503998330759E-01   1.6984977366644399E-01   3.5392539100847858E-02
         2         20   1.3074061920524906E-03   2.0166010451566067E-02   7.9963603477986693E-03   2.8019975643924682E-03
         2         21   7.7179712983917164E-03   5.0575973251794804E-02   2.8167841805602559E-02   5.1284337405611141E-03
         2         22   1.2703631074021121E-02   1.2675763215381150E-01   6.2522545840892979E-02   1.5212818714782503E-02
         2         23   2.2165703921907108E-02   7.7110861622795693E-02   4.5952117226076380E-02   6.9351840633033622E-03
