################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.4858501084313331E-01 a         1     0     1     1     1
  1.9244910035946752E-01 a         2     0     1     1     2
  1.8492486654826942E-01 a         3     0     1     1     3
  7.0030915518532388E-01 a         4     0     1     1     4
  5.9933030636433471E-01 a         5     0     1     1     5
 -5.9120225987755050E-02 a         6     0     1     1     6
  3.9986305406028827E-01 a         7     0     1     1     7
  3.8925047580898244E-02 a         8     0     1     1     8
 -3.4007624175628126E-01 a         9     0     1     1     9
  6.2075856735677182E-01 a        10     0     1     1    10
 -1.9159249476353166E-01 a        11     0     1     1    11
  8.3842927512264451E-02 a        12     0     1     1    12
 -4.2147235143936423E-01 a        13     0     1     1    13
  8.4338461556118915E-01 a        14     0     1     1    14
  2.1146375433869942E+00 a        15     0     1     1    15
 -9.9222935909714011E-02 a        16     0     1     1    16
  4.2642560459569179E-01 a        17     0     1     1    17
  8.6318236038904517E-01 a        18     0     1     1    18
 -7.2826850673045251E-01 a        19     0     1     1    19
 -4.9674153412844163E-01 a        20     0     1     1    20
 -8.3244234731591205E-01 a        21     0     2     1     1
 -1.1229253553785674E-01 a        22     0     2     1     2
  1.6180760355581136E-01 a        23     0     2     1     3
 -1.0032244890845994E+00 a        24     0     2     1     4
 -1.1668800998536244E+00 a        25     0     2     1     5
  2.2633756967094182E-01 a        26     0     2     1     6
 -9.1738791353879556E-01 a        27     0     2     1     7
 -5.3105190473746966E-01 a        28     0     2     1     8
  6.2835348500998797E-02 a        29     0     2     1     9
 -9.1269904365509436E-01 a        30     0     2     1    10
  5.1841209543187361E-01 a        31     0     2     1    11
  2.5540131461587765E-02 a        32     0     2     1    12
  1.1016092792453713E+00 a        33     0     2     1    13
 -1.1049130332334536E+00 a        34     0     2     1    14
 -2.6050316398766493E+00 a        35     0     2     1    15
  2.5671670031676080E-01 a        36     0     2     1    16
 -6.8735768884880821E-01 a        37     0     2     1    17
 -1.2846806509651028E+00 a        38     0     2     1    18
  2.7069015879482805E-01 a        39     0     2     1    19
  2.7228953647941051E-01 a        40     0     2     1    20
 -9.3321765455877848E-01 a        41     0     3     1     1
 -2.0138470665918481E-01 a        42     0     3     1     2
 -5.2413129585257834E-01 a        43     0     3     1     3
 -5.4457061089722636E-01 a        44     0     3     1     4
 -4.6669173699478300E-01 a        45     0     3     1     5
 -4.5010767010925440E-01 a        46     0     3     1     6
 -5.8695888023054588E-01 a        47     0     3     1     7
 -1.5429369337290891E-01 a        48     0     3     1     8
  8.0461779293567154E-02 a        49     0     3     1     9
  2.0981668821098010E-01 a        50     0     3     1    10
  7.0050934979785193E-02 a        51     0     3     1    11
 -7.2396991901518182E-01 a        52     0     3     1    12
  1.7149202905555574E-01 a        53     0     3     1    13
 -6.4632442230139431E-01 a        54     0     3     1    14
 -1.2706200542937038E+00 a        55     0     3     1    15
  2.2527437864064739E-01 a        56     0     3     1    16
 -4.3512755015433946E-01 a        57     0     3     1    17
 -2.7880241130049801E-02 a        58     0     3     1    18
  3.6746928269423429E-01 a        59     0     3     1    19
  4.2920132700699870E-01 a        60     0     3     1    20
  1.1777774065044067E+00 a        61     0     4     1     1
 -3.3435710500178162E-01 a        62     0     4     1     2
  3.5031564933818210E-01 a        63     0     4     1     3
  1.1531672650192279E+00 a        64     0     4     1     4
  1.7128223725302905E+00 a        65     0     4     1     5
  3.4752195479197268E-01 a        66     0     4     1     6
  1.8626352809511935E+00 a        67     0     4     1     7
  6.8433984092561218E-01 a        68     0     4     1     8
  9.2668212025825744E-02 a        69     0     4     1     9
  1.8262168655771921E-01 a        70     0     4     1    10
 -5.0013983266066064E-01 a        71     0     4     1    11
  4.3361244288051537E-01 a        72     0     4     1    12
 -1.4631558762967576E+00 a        73     0     4     1    13
  9.9116165563274117E-01 a        74     0     4     1    14
  2.2020404575647436E+00 a        75     0     4     1    15
 -3.1301897851019728E-01 a        76     0     4     1    16
  1.0405040588636512E+00 a        77     0     4     1    17
  5.9621631202677883E-01 a        78     0     4     1    18
  6.8237238456731351E-03 a        79     0     4     1    19
  7.6274249590690513E-02 a        80     0     4     1    20
 -3.2189501087508465E-01 a        81     0     5     1     1
 -2.0597147111713948E-01 a        82     0     5     1     2
  1.2226331784329102E-01 a        83     0     5     1     3
  2.4844088737561526E-01 a        84     0     5     1     4
 -7.4051224207850208E-01 a        85     0     5     1     5
  5.8651780488780791E-01 a        86     0     5     1     6
 -3.7165450158900726E-01 a        87     0     5     1     7
  1.6225932186848493E-01 a        88     0     5     1     8
 -3.8313143775965819E-01 a        89     0     5     1     9
 -4.3685543322746012E-01 a        90     0     5     1    10
 -2.5809287373777356E-01 a        91     0     5     1    11
  3.5949014420971848E-01 a        92     0     5     1    12
  4.1126855571663912E-01 a        93     0     5     1    13
  3.1458120471570962E-02 a        94     0     5     1    14
 -5.5418090942232989E-01 a        95     0     5     1    15
  1.3152041996770267E-02 a        96     0     5     1    16
 -1.2796983811892318E-01 a        97     0     5     1    17
 -5.0058377817014110E-01 a        98     0     5     1    18
  2.0724469617556202E-01 a        99     0     5     1    19
 -4.5549741346304706E-01 a       100     0     5     1    20
 -1.8807844972524032E-01 a       101     0     6     1     1
  4.8921769088698991E-01 a       102     0     6     1     2
 -6.2340771148345298E-01 a       103     0     6     1     3
 -1.0924466595353065E-01 a       104     0     6     1     4
 -8.6281040230428518E-01 a       105     0     6     1     5
 -6.6698743192069587E-01 a       106     0     6     1     6
 -1.2730209198894680E+00 a       107     0     6     1     7
  6.4588062389703282E-01 a       108     0     6     1     8
  4.8139293113603232E-01 a       109     0     6     1     9
  4.1563995752154814E-01 a       110     0     6     1    10
